标的,资产编号,交易场所,市场类型,精确合约,数据对象,主研究尺度,事后结果观察窗口,时间范围,最终状态,尺度证据状态,门1来源身份,门2时间与质量合同,门3质量审计,门4历史重放,门5成本与执行,门6血缘,是否合格,拒绝原因,成员指纹
BTC,DS-000077,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,047c0a452a084b015d4346b988cbaa5ec6818a80a260d1fd3a369ff4a15c9c1c
BTC,DS-000077,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,d11fb6459d5bcf9289a400ff2c302d69590517109888fd621f136b0f358aa838
BTC,DS-000078,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,5d782fcddcb5426190b073700d177e1f0eb0ebf4d24d972e06fd7d2765505b25
BTC,DS-000078,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,35c62c0b07f9b4bb3a89f8e4bfbc050d69bc89fe68eb6b28439808e3c1352974
BTC,DS-000078,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,d3e0e277b857dcc9f7230c9224f62daf37abac7499ff7c837cc30a33642a164a
BTC,DS-000078,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,db6483b9ded7a228015a0a7e81d5bd44550837bc2f145a42dc3187b705b4561c
BTC,DS-000079,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,9efde04d78155baecc8572fbbba6ffee8a6e045dfed9322f1d207bc8b3390671
BTC,DS-000079,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,05678c2d54aaefb9a94dcb073a7056f79d22ea3c9e72cbed0ac4bd050a07ccfb
BTC,DS-000079,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,d4bca2004bcb53cd5ef8e52e55e21a3081f5e65d263079b15bcb99ca35b6eac8
BTC,DS-000079,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,1fad0162dd717fa0ce8822e2907cf9781746f23a4f534ff8b2a15ce91a2fc21d
BTC,DS-000080,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,不可用,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,拒绝,拒绝,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=不可用不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=拒绝；门5成本与执行=拒绝,da683d1f9749f6c948b8bbb249f2860e50c211cb0ae68f307a620bcd9c5d7dd4
BTC,DS-000080,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,不可用,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,拒绝,拒绝,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=不可用不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=拒绝；门5成本与执行=拒绝,cdf04089d51fe72099429aee6cfd95f014895fa00cab2382a6384618d7d5ffca
BTC,DS-000080,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,不可用,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,拒绝,拒绝,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=不可用不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=拒绝；门5成本与执行=拒绝,bcf92f5a24b278aa772fd27a2b9ae4fbb04ac7bf8bc4031804cc12b536449665
BTC,DS-000080,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,不可用,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,拒绝,拒绝,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=不可用不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=拒绝；门5成本与执行=拒绝,1792f386bc526a5ae8758884d61f6086db7c4b4228421f8e341dfbee3143f901
BTC,DS-000081,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,b2ab4f47e54fcc9ddbde00c760744e6105e92226a09c13cdeb8b803bc006a480
BTC,DS-000081,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,d4c54afe707d5fb14e006f8323f0e53a9b992bd705d1d611c1de1b9957ae5f2e
BTC,DS-000081,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,b6a6d0c7c7b99c08f8da6ca9ec93ca6c296cf2e0d7df3758389c7983b3e7e00d
BTC,DS-000081,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,53e2cbb6515973cf5a5818f6a265df25671cf69f0d079d2e191585cfcdea204b
BTC,DS-000082,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,4b34186faf79af44da963f9cd84f1eda24769a92b02c4a5c601b731a59ff9350
BTC,DS-000082,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,45d2884eb3840a4908e672c308581d61a75ee2fffeff86730b898e86c36d6c79
BTC,DS-000082,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,d986fd8e5ec828f7f13213105ff1cf6c8ea5427c34a0b276709c077cce3411d0
BTC,DS-000082,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,f4e7f1234598655c0f4d76789c791004928011a636fd1869496c7db7d7bfdc16
BTC,DS-000083,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,97c40f77c36227bbf00f99939fb729e9982405452de85527d7b58f51235d70a7
BTC,DS-000083,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,43d5081f621cbcf924ce3e4c097b3b3a7b06374115ba6abeaf2013133d84ed95
BTC,DS-000083,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,65bce2b212715e6ce3d1d1afc3a85a47aa3d692156962fa35bf4c4dddf9cc685
BTC,DS-000083,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,838127abfded64b49896291333fb064189a224e02ceac33901d7a33699c66728
BTC,DS-000084,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,6d7e12476aa07a07a700113dcf845af6e915a4a13093b079b92eae16ce45b627
BTC,DS-000084,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,2ef179bb5ee29bb2015243c192ecb03147cd65f25cece9bf52a9b7950e7a1f20
BTC,DS-000084,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,d32a43d9d85a8bfaab19b496e9e601096669b76b5418a434d44727f6ded0cb9c
BTC,DS-000084,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,6e5aa425166886879237bcf7227aca91174601af3a0067ea43d008b6d33c9db4
BTC,DS-000085,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,eceb819c022990b32a39692e9056984133fee7f0ff709c7a0b611e0ec5e996dd
BTC,DS-000085,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,14696e7bedbe6b922cf7ad839d843f2d4e8b4e28910b8bea262a60cdf3316e72
BTC,DS-000085,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,829f39e0d025d9a8a6716896e0d02e7bbe6cd6f5a10d30f30733ad8065b10a87
BTC,DS-000085,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,0b94b1bbf22295450403db6a56aed9ee328a82603f47659f7fea2da53fcaea2a
BTC,DS-000086,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,3b075c41a0e1fac1b76b4672525fe031d5773ce3192de942cb1b41d9ecbf117a
BTC,DS-000086,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,1121aebc1f39cdd6e1eef460849b809228fb853224d7ddea5801220190a806d6
BTC,DS-000086,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,9916f6dda7365f6896ee702c90020fae1c47f94b27f29aea71e45fb1d6169518
BTC,DS-000086,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,4b88f88232ee24363b95210bb140ae231dd23e85742960d6294d97c861e44999
BTC,DS-000087,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,45beaa78cc152551a326d41f57218de1bb50cde04d384fe5c7a2e9e8051b8332
BTC,DS-000087,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,c6aea9e9c7d5033b61624c381679067bb4cad29e185b21b87f6035fc12cd21b5
BTC,DS-000087,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,42eebe8accd6b730e85c0ad01b29e74e97ce824ce18f24cc9644998e85043ea8
BTC,DS-000087,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,381bd98ff44db6667d686650e343143a912d0fc88696f8d4498fff85912904a1
BTC,DS-000088,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,d06e4bf2acf45bb11e0cc768805bcd979908a9e13aa4abdc0574440b61856ed6
BTC,DS-000088,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,fd014dac63658c8acbfbda6a9dcda6af886cac6dae900c4186c0177123cfe62e
BTC,DS-000088,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,e4dadd6d281d394381047032b643f06f10ee673251b3483edd046e90fb1cc2f5
BTC,DS-000088,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,5bc5aad655655632a04ce11ce574c644071c7a6e6dfebf379a629ec5dbca086b
BTC,DS-000089,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,ded0ad38ee9a5e9e920278dd48eaa47a924e5eb40ef3bded885dd786c2d2a010
BTC,DS-000089,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,49ab487425b82f4b47f40486c7c64ef4314a608d0e62d5d2b1a2305aa530b770
BTC,DS-000089,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,e6a551ccf32bd1de6aec5fdc2ce750926e507310b5a71f78a92c4309211fb80d
BTC,DS-000089,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,00c84967caa8caa0ebe8ce4e924aecdcfdd8938ce78442bad086c4ee9cd1fd0b
BTC,DS-000090,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,d7f9e3640f19003b656e0d03993201ef7392a53ec955c262a67df02d57d86df1
BTC,DS-000090,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,23cc7db3211eedb30eec5f1e052f030f7eb590737d0bd09cc3e685ff3527135f
BTC,DS-000090,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,88cb741752ab9de641d983c05bca721eccf9893336a5543313529b98ed95fb43
BTC,DS-000090,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,bbc2098b4d1046c0ed4acd2fda30cb74b021d71af0cee7f58aaaa4e89c0817b3
